Date,Item,Price,Relevance_Weight
2025-09-03,Buyer Protection Apple AirPods Max - Black - AppleCare+2027 S$600 Like new,S$600,0.9500
2025-09-03,BEST RATES BUYBACK! Apple | Buying / Selling / Trade WTS Sell Device | WTB Buy iphone phone ipad tablet mac macbook laptop computer smart watch earphone airpods pencil magic keyboard mini air gen 1 2 pro max 3 4 5 6 7 8 9 10 X 11 12 13 14 15 16 17 S$888 Like new,S$888,0.0100
2025-09-02,"Apple AirPods Pro, iPhone 13 pro max, Apple Watch SE Bundle S$1,050 Like new","S$1,050",0.0100
2025-09-02,Buyer Protection Apple AirPods Max - Orange S$230 Like new,S$230,0.9500
2025-09-02,Buyer Protection Apple AirPods Max Midnight - Brand New S$700 Like new,S$700,0.9500
2025-09-01,Apple AirPods Max S$628 Like new,S$628,0.9500
2025-08-31,Buyer Protection Apple AirPods Max - Space Grey S$500 Like new,S$500,0.9500
2025-08-31,Buyer Protection Apple Airpods Pro Max S$450 S$500 Like new,S$450,0.0100
2025-08-31,Airpods Max USB-C Apple care till 11/2026 S$520 Like new,S$520,0.9500
2025-08-31,Apple Airpods Max S$729 Like new,S$729,0.9500
2025-08-30,Buyer Protection Apple AirPods Max - Space Grey Gen2 S$600 Like new,S$600,0.9500
2025-08-30,Buyer Protection Apple AirPods Max - purple S$50 Like new,S$50,0.9500
2025-08-29,Buyer Protection Apple AirPods Max - White S$310 Like new,S$310,0.9500
2025-08-29,Buyer Protection Apple Airpod Max w/ Charging Case + Protective Case (Midnight) S$650 Like new,S$650,0.9500
2025-08-29,Buyer Protection Apple AirPods Max - Silver S$420 Like new,S$420,0.9500
2025-08-28,Apple AirPods Max - Space Gray (Lightning Series) S$350 Like new,S$350,0.9500
2025-08-27,Buyer Protection Apple AirPods Max - Purple S$420 Like new,S$420,0.9500
2025-08-27,Buyer Protection AirPod Max (Lightning) - Blue S$450 Like new,S$450,0.9500
2025-08-26,Buyer Protection AirPod max S$150 Like new,S$150,0.9500
2025-08-26,[still available] Apple AirPods Max BOX ONLY S$10 Like new,S$10,0.0100
2025-08-25,AirPods Pro Max S$375 Like new,S$375,0.0100
2025-08-25,Buyer Protection Apple AirPods Max Cover - Pink S$5 S$7 Like new Free delivery,S$5,0.0100
2025-08-24,Apple AirPods Max - Space Gray S$450 Like new,S$450,0.9500
2025-08-23,Buyer Protection Apple AirPods Max - Space Grey S$380 Like new,S$380,0.9500
2025-08-23,Buyer Protection Apple AirPods Max - Space Gray S$499 Like new Free delivery,S$499,0.9500
2025-08-23,Apple AirPods Max - Space Gray S$400 Like new,S$400,0.9500
2025-08-22,Buyer Protection Apple AirPods Max - Space Gray S$400 Like new,S$400,0.9500
2025-08-22,Buyer Protection AIRPODS MAX 36094 S$359 Like new Free delivery,S$359,0.9500
2025-08-22,Buyer Protection Apple  airpod max S$540 S$590 Like new,S$540,0.9500
2025-08-21,Buyer Protection AirPods Max S$550 Like new,S$550,0.9500
2025-08-20,Buyer Protection Apple AirPods Max - Midnight S$550 Like new,S$550,0.9500
2025-08-18,Buyer Protection ğŸ’ APPLE WARRANTY 2026ğŸ’ AirPods Max Purple Type C (USB-C)ğŸ’ AirPods Max PurpleğŸ’ AirPods Max 2024ğŸ’ AirPods Max PurpleğŸ’ A3184ğŸ’ S$488 Like new,S$488,0.9500
2025-08-17,AirPods Max S$600 Like new,S$600,0.9000
2025-08-17,Buyer Protection Apple AirPods Max - Space Gray - Brand New S$550 Like new,S$550,0.9500
2025-08-15,Buyer Protection Apple AirPods Max - Silver S$400 Like new,S$400,0.9500
2025-08-15,Buyer Protection Apple AirPods Max - Space Gray S$350 Like new,S$350,0.9500
2025-08-14,Buyer Protection Apple AirPods Max USB-C Midnight with AppleCare+ S$630 Like new,S$630,0.9500
2025-08-14,Buyer Protection ğŸŒˆ 1 week usedğŸŒˆ AirPods Max Midnight 2024ğŸŒˆ AirPods Max 2024ğŸŒˆ  AirPods Max USB-CğŸŒˆ  AirPods Max Type CğŸŒˆ  AirPods Max Version 2ğŸŒˆ AirPods Max (USB-C)ğŸŒˆ AirPods Max lighting versionğŸŒˆ AirPods Max blackğŸŒˆ AirPods Max space gray(Model: A3184) S$498 Like new,S$498,0.9000
2025-08-13,Buyer Protection Apple AirPods Max - Space Gray with warranty S$550 Like new,S$550,0.9500
2025-08-13,Buyer Protection Apple AirPods Max (2025) - with Apple Care+ S$600 Like new,S$600,0.9500
2025-08-12,Buyer Protection Airpods Max Gen 2 (Type C) S$650 Like new,S$650,0.9000
2025-08-12,Buyer Protection ğŸŒˆ JAN-26 APPLE WARRANTYğŸŒˆ AirPods Max WhiteğŸŒˆ AirPods Max Silver Lighting versionğŸŒˆ AirPods Max Version 1ğŸŒˆ A2096ğŸŒˆ S$398 Like new,S$398,0.9500
2025-08-11,Buyer Protection Apple AirPods Max - Space Grey - Brand New S$600 Like new,S$600,0.9500
2025-08-10,"Buyer Protection AirPods Max ,Type C S$510 S$520 Like new",S$510,0.9000
2025-08-09,F4ke Apple AirPods Max - Space Gray S$150 Like new,S$150,0.0100
2025-08-09,Buyer Protection Apple AirPods Max - Space Gray /USB C S$650 Like new,S$650,0.9500
2025-08-09,Buyer Protection ğŸ’ APPLE WARRANTYğŸ’ AirPods Max GreenğŸ’ AirPods Max LightingğŸ’ AirPods Max GreenğŸ’ AirPods Max GreenğŸ’ AirPods Max Version 1ğŸ’ (MODEL: A2096) S$388 Like new,S$388,0.9500
